# self-oscillation statistics, 2026-07-10T14:34:53, gain=2.3, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04
cycle,t_s,f_MHz,R_V
366,149.9587,2862.977408,8.42182040e-05
367,150.3554,2862.179170,1.37309815e-04
368,150.7932,2863.151082,5.79226917e-05
369,151.1904,2862.263754,1.41305328e-04
370,151.5794,2862.699293,8.19777901e-05
371,152.0117,2863.194373,7.93074844e-05
372,152.3961,2862.126521,1.49401390e-04
373,152.7926,2862.704674,7.55818758e-05
374,153.2123,2862.956437,9.02196865e-05
375,153.6248,2862.309764,1.30512509e-04
376,154.0115,2862.758261,8.13966411e-05
377,154.4397,2862.865411,9.67052757e-05
378,154.8296,2862.400190,1.22374741e-04
379,155.2434,2862.608780,9.21559334e-05
380,155.6623,2863.310235,7.00520767e-05
381,156.0616,2862.147893,1.53639046e-04
382,156.4754,2862.528729,8.44310642e-05
383,156.9216,2863.958075,3.74078670e-05
384,157.3088,2861.671589,2.04054286e-04
385,157.7055,2862.501729,6.42808404e-05
386,158.1587,2863.662817,4.94385707e-05
387,158.5591,2861.725055,1.88414834e-04
388,158.9930,2862.552738,6.43910522e-05
389,159.4062,2862.642351,9.74917444e-05
390,159.8585,2863.582696,5.93384104e-05
391,160.2572,2861.915068,1.76299935e-04
392,160.6495,2861.848649,1.04489410e-04
393,161.0542,2862.551234,7.00014256e-05
394,161.5125,2863.256497,6.98812895e-05
395,161.9221,2862.179158,1.49826828e-04
396,162.2974,2862.502260,8.70203105e-05
397,162.6949,2862.685563,9.32899993e-05
398,163.1096,2862.579337,1.06274660e-04
399,163.5416,2863.390893,6.51143193e-05
400,163.9270,2861.919921,1.67480383e-04
401,164.2886,2862.633638,6.95021462e-05
402,164.7135,2862.990519,8.55054162e-05
403,165.1063,2862.407651,1.27650956e-04
404,165.4995,2862.225349,1.09686495e-04
405,165.9111,2862.652218,8.23666291e-05
406,166.3094,2862.669921,1.00716783e-04
407,166.7575,2863.853851,4.84141510e-05
408,167.1463,2861.774004,1.94787021e-04
409,167.5399,2862.638824,6.27255312e-05
410,167.9613,2864.475389,1.91450241e-05
411,168.3541,2861.614809,2.29801038e-04
412,168.7903,2860.632042,1.45585545e-04
413,169.1900,2861.931654,4.32260964e-05
414,169.5768,2862.645138,6.95125828e-05
415,170.0214,2863.727587,5.29653867e-05
416,170.4097,2861.914172,1.82838140e-04
417,170.7896,2862.754898,6.38060979e-05
418,171.2436,2863.665168,6.06871925e-05
419,171.6559,2861.914034,1.80044996e-04
420,172.0463,2862.610664,7.02684668e-05
421,172.4917,2863.737591,5.09706142e-05
422,172.9087,2861.875395,1.85025881e-04
423,173.2502,2862.521343,7.25414341e-05
424,173.6890,2863.068648,7.69653285e-05
425,174.0780,2862.240834,1.38636232e-04
426,174.5226,2863.731832,3.46428745e-05
427,174.9115,2861.755915,1.90126001e-04
428,175.3242,2862.499206,6.81758402e-05
429,175.7545,2864.275425,2.18513926e-05
430,176.1008,2861.492781,2.26305821e-04
431,176.5068,2862.473971,5.75066077e-05
432,176.8814,2863.438942,5.82339694e-05
433,177.2786,2861.879216,1.71460790e-04
434,177.6918,2862.614790,6.85218864e-05
435,178.1288,2863.080817,8.06104769e-05
436,178.5409,2862.227415,1.39783804e-04
437,178.9747,2862.126565,1.06033562e-04
438,179.3736,2862.621229,7.93261897e-05
439,179.7612,2862.595557,1.02662022e-04
440,180.1522,2863.166653,7.58983533e-05
441,180.5012,2862.138273,1.47631172e-04
442,180.8922,2862.888641,6.78584248e-05
443,181.3210,2864.329886,3.68742107e-05
444,181.7228,2861.551580,2.26111248e-04
445,182.1118,2862.585632,5.51358752e-05
446,182.5437,2863.329349,6.81567040e-05
447,182.9421,2862.030196,1.59774720e-04
448,183.3372,2862.767928,6.84251041e-05
449,183.7708,2863.500653,6.86496893e-05
450,184.1591,2862.044593,1.66811613e-04
451,184.5560,2862.735448,7.05274616e-05
452,184.9894,2862.991921,9.00084803e-05
453,185.3773,2862.297718,1.32644076e-04
454,185.8207,2863.095224,6.57444182e-05
455,186.1656,2862.208780,1.41265640e-04
456,186.5936,2862.173630,1.03087100e-04
457,187.0070,2862.701136,7.78532632e-05
458,187.4029,2862.534365,1.08989993e-04
459,187.8282,2864.637682,7.18178697e-06
460,188.2409,2861.747624,2.31123100e-04
461,188.6370,2862.514575,6.71147405e-05
462,189.0617,2863.619071,5.19766206e-05
463,189.4606,2861.876024,1.79682272e-04
464,189.8928,2861.459847,1.20175296e-04
465,190.2928,2862.416494,5.86072867e-05
466,190.7061,2862.768230,8.57361711e-05
467,191.1269,2863.893786,5.10321189e-05
468,191.5446,2861.707390,1.99565471e-04
469,191.9895,2862.518841,6.51189836e-05
470,192.3769,2862.626960,9.66618268e-05
471,192.7870,2862.679340,9.91615613e-05
472,193.2428,2863.753184,5.33513101e-05
473,193.6521,2861.716175,1.92865799e-04
474,194.0586,2862.579077,6.28115400e-05
475,194.4951,2864.012018,3.72466460e-05
476,194.8942,2861.573275,2.10882637e-04
477,195.3041,2862.400853,6.43957613e-05
478,195.7583,2863.066365,7.16640136e-05
479,196.1046,2862.209081,1.39957872e-04
480,196.5282,2863.652003,3.67989920e-05
481,196.9254,2861.819013,1.83716042e-04
482,197.3237,2862.558090,6.83648364e-05
