# self-oscillation gain scan, 2026-07-10T14:34:53, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04, gamma_MHz_per_mT=28.024
gain,cycle,t_s,f_MHz,R_V
1.0,126,52.0962,2868.286915,1.00356090e-04
1.0,127,52.4837,2867.386563,1.94381708e-04
1.0,128,52.8764,2868.206127,1.69729454e-05
1.0,129,53.3061,2868.327585,8.89824071e-05
1.0,130,53.6551,2867.341413,2.03233997e-04
1.0,131,54.0616,2868.199293,1.30206568e-05
1.0,132,54.5133,2868.270887,9.41257599e-05
1.0,133,54.9064,2867.377060,1.93708648e-04
1.0,134,55.3474,2867.469827,9.19417941e-05
1.0,135,55.7658,2868.248306,2.12109137e-05
1.0,136,56.1947,2868.317450,9.43785309e-05
1.0,137,56.5546,2867.387747,1.97409214e-04
1.0,138,56.9126,2868.266888,1.08275729e-05
1.0,139,57.3481,2868.328863,9.51180121e-05
1.0,140,57.7441,2867.348306,2.02654819e-04
1.0,141,58.1468,2868.177495,1.59801669e-05
1.0,142,58.5974,2868.182741,1.00969520e-04
1.0,143,58.9958,2867.440575,1.78064926e-04
1.0,144,59.4234,2867.490171,9.63948605e-05
1.0,145,59.8259,2868.250387,2.30946352e-05
1.0,146,60.2480,2868.258123,1.00712742e-04
1.0,147,60.6632,2867.373656,1.92743192e-04
1.0,148,61.0918,2867.400860,9.87045611e-05
1.0,149,61.4820,2868.248500,1.40769613e-05
1.0,150,61.8956,2867.356766,1.93492706e-04
1.0,151,62.3247,2867.427432,9.42215791e-05
1.0,152,62.7301,2868.281643,1.33991231e-05
1.0,153,63.1266,2867.367705,1.95783060e-04
1.0,154,63.4994,2867.404786,9.76857681e-05
1.0,155,63.8800,2868.253184,1.39988017e-05
1.0,156,64.3134,2868.349305,9.15957752e-05
1.0,157,64.7268,2867.303030,2.09433640e-04
1.0,158,65.1625,2867.241016,1.07907436e-04
1.0,159,65.5617,2867.902469,3.32820595e-05
1.0,160,65.9564,2868.061660,8.50901535e-05
1.0,161,66.3051,2867.461052,1.63463186e-04
1.0,162,66.7088,2868.253539,1.97659574e-05
1.0,163,67.1436,2868.151728,1.12012438e-04
1.0,164,67.5440,2867.421798,1.76802768e-04
1.0,165,67.9655,2867.606027,8.25075915e-05
1.0,166,68.3146,2868.104722,5.00704563e-05
1.0,167,68.7085,2868.330993,7.81708802e-05
1.0,168,69.0559,2867.405885,1.96935309e-04
1.0,169,69.4824,2867.451654,9.67895818e-05
1.0,170,69.8940,2868.266460,1.74637749e-05
1.0,171,70.2829,2867.383740,1.92562925e-04
1.0,172,70.6718,2867.455022,9.41580305e-05
1.0,173,71.0806,2868.294092,1.49609260e-05
1.0,174,71.5260,2868.267758,1.04226981e-04
1.0,175,71.9255,2867.346757,1.96511623e-04
1.0,176,72.3128,2868.167729,1.68277685e-05
1.0,177,72.7626,2868.310522,8.67816319e-05
1.0,178,73.1610,2867.378762,1.97621414e-04
1.0,179,73.5651,2868.312782,5.16683138e-06
1.0,180,73.9977,2868.312646,1.01524694e-04
1.0,181,74.3943,2867.346374,2.01181330e-04
1.0,182,74.7930,2868.175160,1.60217159e-05
1.0,183,75.1729,2868.161740,1.02894958e-04
1.0,184,75.5758,2867.380511,1.82094239e-04
1.0,185,75.9645,2868.277240,9.01342244e-06
1.0,186,76.3952,2868.245993,1.04733845e-04
1.0,187,76.7909,2867.390722,1.89731599e-04
1.0,188,77.2258,2867.464504,9.39000716e-05
1.0,189,77.6155,2868.262817,1.91649745e-05
1.0,190,78.0301,2867.332719,1.97450040e-04
1.0,191,78.4813,2867.220600,1.13075722e-04
1.0,192,78.8919,2867.914434,2.99418884e-05
1.0,193,79.2945,2867.557741,1.38303533e-04
1.0,194,79.7231,2867.926207,6.35034707e-05
1.0,195,80.0710,2867.648450,1.30161306e-04
1.0,196,80.4786,2868.009978,6.42191904e-05
1.0,197,80.9085,2867.945831,1.08127409e-04
1.0,198,81.2986,2867.529545,1.44450500e-04
1.0,199,81.6990,2868.189003,3.34878254e-05
1.0,200,82.1254,2868.060617,1.14753636e-04
1.0,201,82.5235,2867.424340,1.67142490e-04
1.0,202,82.9111,2867.739361,6.90163393e-05
1.0,203,83.3117,2867.840913,9.10355978e-05
1.0,204,83.7479,2867.857251,9.98255126e-05
1.0,205,84.1471,2867.615013,1.26497405e-04
1.0,206,84.5634,2868.051926,5.64432729e-05
1.0,207,85.0103,2867.990673,1.07828950e-04
1.0,208,85.3556,2867.552871,1.46669802e-04
1.0,209,85.7618,2868.165265,3.83424467e-05
1.0,210,86.1990,2868.250239,9.27456725e-05
1.0,211,86.6145,2867.321182,1.97342622e-04
1.0,212,87.0304,2868.119932,1.91199111e-05
1.0,213,87.4773,2868.164791,9.68834644e-05
1.0,214,87.8651,2867.416908,1.78654627e-04
1.0,215,88.2658,2868.205005,2.02187562e-05
1.0,216,88.6959,2868.073237,1.15102498e-04
1.0,217,89.0960,2867.442948,1.66524840e-04
1.0,218,89.4945,2868.222775,2.10717942e-05
1.0,219,89.9267,2868.264511,9.72056648e-05
1.0,220,90.2724,2867.363212,1.94479331e-04
1.0,221,90.7085,2867.658444,7.10576623e-05
1.0,222,91.1063,2867.915907,7.49534595e-05
1.0,223,91.5094,2867.611734,1.32886049e-04
1.0,224,91.9597,2867.906447,7.11110699e-05
1.0,225,92.3592,2867.633783,1.29635901e-04
1.0,226,92.7465,2868.070360,5.64779855e-05
1.0,227,93.1947,2868.171044,9.11251718e-05
1.0,228,93.5921,2867.315491,1.89760709e-04
1.0,229,94.0408,2867.368904,9.60011764e-05
1.0,230,94.4455,2868.205806,1.51844621e-05
1.0,231,94.8601,2867.337659,1.91059759e-04
1.0,232,95.3077,2867.710943,6.30065713e-05
1.0,233,95.7000,2867.854549,8.66978692e-05
1.0,234,96.0758,2867.969908,8.96113745e-05
1.0,235,96.4720,2867.508260,1.49129588e-04
1.0,236,96.8215,2868.203212,2.98265760e-05
1.0,237,97.2783,2868.094838,1.12689519e-04
1.0,238,97.6740,2867.399700,1.73213911e-04
1.0,239,98.0644,2868.239155,1.49212149e-05
1.0,240,98.5032,2867.900390,1.36454171e-04
1.0,241,98.9111,2867.635618,1.28821791e-04
1.0,242,99.3089,2868.019479,6.19156254e-05
1.0,243,99.7446,2868.655575,3.58976383e-05
1.0,244,100.1304,2867.538118,2.16775937e-04
1.0,245,100.5413,2868.159446,3.74208991e-05
1.0,246,100.9637,2868.473396,6.91269361e-05
1.0,247,101.3795,2867.423572,2.09799637e-04
1.0,248,101.8078,2867.144753,1.30270776e-04
1.0,249,102.1965,2867.656051,4.87705063e-05
1.4,0,0.4005,2867.509062,1.30314370e-04
1.4,1,0.8268,2867.957813,6.84474870e-05
1.4,2,1.2214,2867.415163,1.41492232e-04
1.4,3,1.6365,2868.593696,1.46783041e-05
1.4,4,2.0154,2868.555000,1.04361810e-04
1.4,5,2.4214,2867.059006,2.11733033e-04
1.4,6,2.8551,2867.187980,9.20080443e-05
1.4,7,3.2677,2868.029220,3.95295715e-05
1.4,8,3.7157,2868.257990,8.46552871e-05
1.4,9,4.1029,2866.911633,2.00708068e-04
